commit	val_bpb	memory_gb	status	description
exp001	0.000000	0.0	crash	baseline
exp002	0.000000	0.0	crash	reduce protein device batch size 128->64 for stability
exp003	0.000000	0.0	crash	reduce protein device batch size 64->32 to reduce compile-time temp usage
exp004	0.000000	0.0	crash	reduce protein device batch size 32->16 to further reduce compile/eval pressure
exp005	0.000000	0.0	crash	reduce protein device batch size 16->8 to reduce compiled eval kernel pressure
exp006	0.000000	0.0	crash	reduce protein device batch size 8->4 to reduce compiled eval kernel pressure
exp007	4.013969	0.4	keep	disable torch.compile defaults on protein to avoid Triton /tmp exhaustion during eval
exp008	4.004576	0.4	keep	add 5% learning-rate warmup after stabilizing protein compile path
exp009	4.005175	0.4	discard	reduce Muon weight decay 0.2->0.1 after adding 5% lr warmup
exp010	4.002587	0.4	keep	halve total batch size 65536->32768 to increase optimizer update frequency on stable protein setup
exp011	4.005564	0.4	discard	increase lr warmup ratio 5%->8% on reduced-batch protein setup
exp012	4.002922	0.4	discard	reduce Muon matrix lr 0.04->0.03 on the stable 32768-batch protein setup
exp013	4.003091	0.4	discard	increase Muon matrix lr 0.04->0.05 on the stable 32768-batch protein setup
exp014	4.003230	0.4	discard	halve total batch size 32768->16384 to test whether more frequent updates improve the stable protein setup
exp015	4.003324	0.4	discard	increase Muon weight decay 0.2->0.25 on the stable 32768-batch protein setup
exp016	4.006144	0.4	discard	increase lr warmup ratio 5%->6% on the stable 32768-batch protein setup
exp017	4.000658	0.4	keep	reduce total batch size 32768->24576 to test whether the protein optimum lies slightly below the current best setting
exp018	4.001159	0.4	discard	reduce Muon matrix lr 0.04->0.035 on the 24576-batch protein setup to refine the new best
exp019	4.001110	0.4	discard	reduce lr warmdown ratio 50%->40% on the 24576-batch protein best to keep peak rates active longer
exp020	4.001694	0.4	discard	increase total batch size 24576->28672 to test whether the protein optimum sits slightly above the current best
exp021	4.000228	0.4	keep	reduce lr warmup ratio 5%->4% on the 24576-batch protein best to test whether smaller-batch training needs a slightly shorter ramp
exp022	3.999979	0.4	keep	reduce lr warmup ratio 4%->3% on the 24576-batch protein best to test whether the shorter ramp still improves early progress
exp023	4.000979	0.4	discard	reduce lr warmup ratio 3%->2% on the 24576-batch protein best to test whether an even shorter ramp continues the recent gains
exp024	4.000300	0.4	discard	reduce total batch size 24576->22528 to refine the protein optimum slightly below the current best
exp025	3.999408	0.4	keep	increase lr warmdown ratio 50%->60% on the 24576-batch protein best to test whether the 3%-warmup schedule benefits from a gentler late decay
exp026	4.000060	0.4	discard	increase lr warmdown ratio 60%->70% on the 24576-batch protein best to test whether the 3%-warmup schedule benefits from an even gentler late decay
exp027	4.001363	0.4	discard	reduce Muon weight decay 0.2->0.15 on the 24576-batch protein best with 3% warmup and 60% warmdown to test whether the improved schedule benefits from slightly lighter decay
exp028	4.001071	0.4	discard	increase Muon matrix lr 0.04->0.045 on the 24576-batch protein best with 3% warmup and 60% warmdown to test whether the improved schedule benefits from slightly more aggressive matrix updates
exp029	3.999598	0.4	discard	increase Adam beta1 0.8->0.85 on the 24576-batch protein best with 3% warmup and 60% warmdown to test whether slightly smoother AdamW updates improve embeddings and scalar parameters
exp030	3.999216	0.4	keep	increase lr warmdown ratio 60%->65% on the 24576-batch protein best with 3% warmup to test whether the optimum sits between the current best 60% and the rejected 70%
exp031	3.999525	0.4	discard	increase lr warmdown ratio 65%->67.5% on the 24576-batch protein best with 3% warmup to test whether the optimum sits slightly above the current best
exp032	4.000691	0.4	discard	reduce lr warmdown ratio 65%->62.5% on the 24576-batch protein best with 3% warmup to test whether the optimum sits slightly below the current best
exp033	4.000292	0.4	discard	increase Muon weight decay 0.2->0.22 on the 24576-batch protein best with 3% warmup and 65% warmdown to test whether the now-bracketed schedule benefits from slightly stronger matrix regularization
