wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: ewijaya to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 5a6vge30
wandb: Tracking run with wandb version 0.25.0
wandb: Run data is saved locally in /home/ubuntu/storage1/recursive-mol/src/wandb/run-20260311_092438-5a6vge30
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run smiles-d6-ReluSquared
wandb: ⭐️ View project at https://wandb.ai/ewijaya/recursive-mol
wandb: 🚀 View run at https://wandb.ai/ewijaya/recursive-mol/runs/5a6vge30
Track: smiles
Vocab size: 37
Model config: {'sequence_len': 256, 'vocab_size': 37, 'n_layer': 6, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 320, 'window_pattern': 'SSSL', 'activation': 'ReluSquared', 'ffn_mult': 5, 'use_value_embeds': True, 'tie_embed_weights': False}
Parameter counts:
  wte                     : 11,840
  value_embeds            : 35,520
  lm_head                 : 11,840
  transformer_matrices    : 8,602,080
  scalars                 : 12
  total                   : 8,661,292
Estimated FLOPs per token: 5.561568e+07
Scaling AdamW LRs by 1/sqrt(320/768) = 1.549193
Time budget: 300s
Max epochs: 10
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 3.611664 | lrm: 1.00 | dt: 2992ms | tok/sec: 21,902 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 3.267594 | lrm: 1.00 | dt: 1002ms | tok/sec: 65,384 | mfu: 2.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 2.821062 | lrm: 1.00 | dt: 125ms | tok/sec: 523,527 | mfu: 23.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 2.553178 | lrm: 1.00 | dt: 125ms | tok/sec: 523,869 | mfu: 23.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 2.377366 | lrm: 1.00 | dt: 125ms | tok/sec: 523,691 | mfu: 23.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 2.256899 | lrm: 1.00 | dt: 125ms | tok/sec: 523,520 | mfu: 23.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 2.162317 | lrm: 1.00 | dt: 125ms | tok/sec: 523,442 | mfu: 23.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 2.089880 | lrm: 1.00 | dt: 125ms | tok/sec: 523,674 | mfu: 23.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 2.037752 | lrm: 1.00 | dt: 125ms | tok/sec: 522,994 | mfu: 23.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 1.995353 | lrm: 1.00 | dt: 125ms | tok/sec: 523,066 | mfu: 23.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 1.950374 | lrm: 1.00 | dt: 125ms | tok/sec: 523,121 | mfu: 23.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 1.908564 | lrm: 1.00 | dt: 125ms | tok/sec: 523,393 | mfu: 23.3% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 1.873427 | lrm: 1.00 | dt: 125ms | tok/sec: 523,594 | mfu: 23.3% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 1.838262 | lrm: 1.00 | dt: 125ms | tok/sec: 523,263 | mfu: 23.3% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 1.805107 | lrm: 1.00 | dt: 125ms | tok/sec: 523,044 | mfu: 23.3% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 1.771744 | lrm: 1.00 | dt: 125ms | tok/sec: 523,321 | mfu: 23.3% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 1.738404 | lrm: 1.00 | dt: 125ms | tok/sec: 523,461 | mfu: 23.3% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 1.705023 | lrm: 1.00 | dt: 125ms | tok/sec: 523,341 | mfu: 23.3% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 1.672453 | lrm: 1.00 | dt: 125ms | tok/sec: 523,507 | mfu: 23.3% | epoch: 1 | remaining: 299s    
step 00019 (0.3%) | loss: 1.645801 | lrm: 1.00 | dt: 125ms | tok/sec: 523,402 | mfu: 23.3% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 1.623621 | lrm: 1.00 | dt: 125ms | tok/sec: 523,445 | mfu: 23.3% | epoch: 1 | remaining: 299s    
step 00021 (0.4%) | loss: 1.591198 | lrm: 1.00 | dt: 125ms | tok/sec: 523,550 | mfu: 23.3% | epoch: 1 | remaining: 299s    
step 00022 (0.5%) | loss: 1.563028 | lrm: 1.00 | dt: 125ms | tok/sec: 523,696 | mfu: 23.3% | epoch: 1 | remaining: 298s    
step 00023 (0.5%) | loss: 1.535270 | lrm: 1.00 | dt: 125ms | tok/sec: 523,477 | mfu: 23.3% | epoch: 1 | remaining: 298s    
step 00024 (0.5%) | loss: 1.508130 | lrm: 1.00 | dt: 125ms | tok/sec: 523,179 | mfu: 23.3% | epoch: 1 | remaining: 298s    
step 00025 (0.6%) | loss: 1.480092 | lrm: 1.00 | dt: 125ms | tok/sec: 523,635 | mfu: 23.3% | epoch: 1 | remaining: 298s    
step 00026 (0.6%) | loss: 1.452007 | lrm: 1.00 | dt: 125ms | tok/sec: 524,882 | mfu: 23.4% | epoch: 1 | remaining: 298s    
step 00027 (0.7%) | loss: 1.427898 | lrm: 1.00 | dt: 125ms | tok/sec: 524,846 | mfu: 23.4% | epoch: 1 | remaining: 298s    
step 00028 (0.7%) | loss: 1.405873 | lrm: 1.00 | dt: 125ms | tok/sec: 524,707 | mfu: 23.3% | epoch: 1 | remaining: 298s    
step 00029 (0.8%) | loss: 1.385167 | lrm: 1.00 | dt: 125ms | tok/sec: 524,874 | mfu: 23.4% | epoch: 1 | remaining: 298s    
step 00030 (0.8%) | loss: 1.365551 | lrm: 1.00 | dt: 125ms | tok/sec: 524,932 | mfu: 23.4% | epoch: 1 | remaining: 297s    
step 00031 (0.8%) | loss: 1.343747 | lrm: 1.00 | dt: 125ms | tok/sec: 524,736 | mfu: 23.3% | epoch: 1 | remaining: 297s    
step 00032 (0.9%) | loss: 1.330271 | lrm: 1.00 | dt: 125ms | tok/sec: 524,710 | mfu: 23.3% | epoch: 1 | remaining: 297s    
step 00033 (0.9%) | loss: 1.312234 | lrm: 1.00 | dt: 125ms | tok/sec: 525,101 | mfu: 23.4% | epoch: 1 | remaining: 297s    
step 00034 (1.0%) | loss: 1.294468 | lrm: 1.00 | dt: 125ms | tok/sec: 524,882 | mfu: 23.4% | epoch: 1 | remaining: 297s    
step 00035 (1.0%) | loss: 1.279536 | lrm: 1.00 | dt: 125ms | tok/sec: 524,974 | mfu: 23.4% | epoch: 1 | remaining: 297s    
step 00036 (1.0%) | loss: 1.261986 | lrm: 1.00 | dt: 125ms | tok/sec: 524,838 | mfu: 23.4% | epoch: 1 | remaining: 297s    
step 00037 (1.1%) | loss: 1.244452 | lrm: 1.00 | dt: 125ms | tok/sec: 524,403 | mfu: 23.3% | epoch: 1 | remaining: 297s    
step 00038 (1.1%) | loss: 1.231689 | lrm: 1.00 | dt: 125ms | tok/sec: 524,763 | mfu: 23.3% | epoch: 1 | remaining: 296s    
step 00039 (1.2%) | loss: 1.217970 | lrm: 1.00 | dt: 125ms | tok/sec: 524,461 | mfu: 23.3% | epoch: 1 | remaining: 296s    
step 00040 (1.2%) | loss: 1.202283 | lrm: 1.00 | dt: 125ms | tok/sec: 524,824 | mfu: 23.4% | epoch: 1 | remaining: 296s    
step 00041 (1.3%) | loss: 1.191170 | lrm: 1.00 | dt: 125ms | tok/sec: 524,931 | mfu: 23.4% | epoch: 1 | remaining: 296s    
step 00042 (1.3%) | loss: 1.180809 | lrm: 1.00 | dt: 125ms | tok/sec: 524,781 | mfu: 23.3% | epoch: 1 | remaining: 296s    
step 00043 (1.3%) | loss: 1.167912 | lrm: 1.00 | dt: 125ms | tok/sec: 524,963 | mfu: 23.4% | epoch: 1 | remaining: 296s    
step 00044 (1.4%) | loss: 1.154930 | lrm: 1.00 | dt: 125ms | tok/sec: 524,377 | mfu: 23.3% | epoch: 1 | remaining: 296s    
step 00045 (1.4%) | loss: 1.144843 | lrm: 1.00 | dt: 125ms | tok/sec: 524,789 | mfu: 23.3% | epoch: 1 | remaining: 296s    
step 00046 (1.5%) | loss: 1.133783 | lrm: 1.00 | dt: 125ms | tok/sec: 524,797 | mfu: 23.3% | epoch: 1 | remaining: 295s    
step 00047 (1.5%) | loss: 1.120475 | lrm: 1.00 | dt: 125ms | tok/sec: 524,762 | mfu: 23.3% | epoch: 1 | remaining: 295s    
step 00048 (1.5%) | loss: 1.105414 | lrm: 1.00 | dt: 125ms | tok/sec: 524,897 | mfu: 23.4% | epoch: 1 | remaining: 295s    
step 00049 (1.6%) | loss: 1.091932 | lrm: 1.00 | dt: 125ms | tok/sec: 524,815 | mfu: 23.4% | epoch: 1 | remaining: 295s    
step 00050 (1.6%) | loss: 1.079914 | lrm: 1.00 | dt: 125ms | tok/sec: 524,576 | mfu: 23.3% | epoch: 1 | remaining: 295s    
step 00051 (1.7%) | loss: 1.071828 | lrm: 1.00 | dt: 125ms | tok/sec: 524,883 | mfu: 23.4% | epoch: 1 | remaining: 295s    
step 00052 (1.7%) | loss: 1.060457 | lrm: 1.00 | dt: 125ms | tok/sec: 524,928 | mfu: 23.4% | epoch: 1 | remaining: 295s    
step 00053 (1.7%) | loss: 1.046582 | lrm: 1.00 | dt: 125ms | tok/sec: 524,804 | mfu: 23.3% | epoch: 1 | remaining: 295s    
step 00054 (1.8%) | loss: 1.037263 | lrm: 1.00 | dt: 125ms | tok/sec: 524,795 | mfu: 23.3% | epoch: 1 | remaining: 295s    
step 00055 (1.8%) | loss: 1.029412 | lrm: 1.00 | dt: 125ms | tok/sec: 525,171 | mfu: 23.4% | epoch: 1 | remaining: 294s    
step 00056 (1.9%) | loss: 1.021719 | lrm: 1.00 | dt: 125ms | tok/sec: 524,793 | mfu: 23.3% | epoch: 1 | remaining: 294s    
step 00057 (1.9%) | loss: 1.012906 | lrm: 1.00 | dt: 125ms | tok/sec: 524,974 | mfu: 23.4% | epoch: 1 | remaining: 294s    
