wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: ewijaya to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run c2mc7zxw
wandb: Tracking run with wandb version 0.25.0
wandb: Run data is saved locally in /home/ubuntu/storage1/recursive-mol/src/wandb/run-20260311_093524-c2mc7zxw
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run nlp-d6-ReluSquared
wandb: ⭐️ View project at https://wandb.ai/ewijaya/recursive-mol
wandb: 🚀 View run at https://wandb.ai/ewijaya/recursive-mol/runs/c2mc7zxw
Track: nlp
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 320, 'window_pattern': 'SSSL', 'activation': 'ReluSquared', 'ffn_mult': 5, 'use_value_embeds': True, 'tie_embed_weights': False}
Parameter counts:
  wte                     : 2,621,440
  value_embeds            : 7,864,320
  lm_head                 : 2,621,440
  transformer_matrices    : 8,602,080
  scalars                 : 12
  total                   : 21,709,292
Estimated FLOPs per token: 9.879840e+07
Scaling AdamW LRs by 1/sqrt(320/768) = 1.549193
Time budget: 300s
Max epochs: 10
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010832 | lrm: 1.00 | dt: 3078ms | tok/sec: 21,291 | mfu: 1.7% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.107068 | lrm: 1.00 | dt: 1119ms | tok/sec: 58,569 | mfu: 4.6% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.941732 | lrm: 1.00 | dt: 231ms | tok/sec: 284,141 | mfu: 22.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.699428 | lrm: 1.00 | dt: 231ms | tok/sec: 284,195 | mfu: 22.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.381448 | lrm: 1.00 | dt: 231ms | tok/sec: 284,127 | mfu: 22.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.092753 | lrm: 1.00 | dt: 231ms | tok/sec: 284,159 | mfu: 22.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.842661 | lrm: 1.00 | dt: 231ms | tok/sec: 283,977 | mfu: 22.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.618115 | lrm: 1.00 | dt: 231ms | tok/sec: 284,202 | mfu: 22.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.422807 | lrm: 1.00 | dt: 231ms | tok/sec: 283,954 | mfu: 22.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.252739 | lrm: 1.00 | dt: 231ms | tok/sec: 283,910 | mfu: 22.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.100643 | lrm: 1.00 | dt: 231ms | tok/sec: 284,256 | mfu: 22.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.967200 | lrm: 1.00 | dt: 231ms | tok/sec: 284,011 | mfu: 22.4% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.847651 | lrm: 1.00 | dt: 231ms | tok/sec: 283,905 | mfu: 22.4% | epoch: 1 | remaining: 300s    
step 00013 (0.2%) | loss: 6.743029 | lrm: 1.00 | dt: 231ms | tok/sec: 283,821 | mfu: 22.4% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.641575 | lrm: 1.00 | dt: 231ms | tok/sec: 284,036 | mfu: 22.4% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 6.553241 | lrm: 1.00 | dt: 230ms | tok/sec: 284,459 | mfu: 22.5% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 6.472402 | lrm: 1.00 | dt: 231ms | tok/sec: 284,286 | mfu: 22.5% | epoch: 1 | remaining: 299s    
step 00017 (0.5%) | loss: 6.398868 | lrm: 1.00 | dt: 230ms | tok/sec: 284,391 | mfu: 22.5% | epoch: 1 | remaining: 298s    
step 00018 (0.5%) | loss: 6.334424 | lrm: 1.00 | dt: 230ms | tok/sec: 284,609 | mfu: 22.5% | epoch: 1 | remaining: 298s    
step 00019 (0.6%) | loss: 6.270594 | lrm: 1.00 | dt: 230ms | tok/sec: 284,542 | mfu: 22.5% | epoch: 1 | remaining: 298s    
step 00020 (0.7%) | loss: 6.213929 | lrm: 1.00 | dt: 230ms | tok/sec: 284,595 | mfu: 22.5% | epoch: 1 | remaining: 298s    
step 00021 (0.8%) | loss: 6.159088 | lrm: 1.00 | dt: 230ms | tok/sec: 284,465 | mfu: 22.5% | epoch: 1 | remaining: 297s    
step 00022 (0.8%) | loss: 6.107902 | lrm: 1.00 | dt: 230ms | tok/sec: 284,394 | mfu: 22.5% | epoch: 1 | remaining: 297s    
step 00023 (0.9%) | loss: 6.059603 | lrm: 1.00 | dt: 230ms | tok/sec: 284,704 | mfu: 22.5% | epoch: 1 | remaining: 297s    
step 00024 (1.0%) | loss: 6.020226 | lrm: 1.00 | dt: 230ms | tok/sec: 284,510 | mfu: 22.5% | epoch: 1 | remaining: 297s    
step 00025 (1.1%) | loss: 5.983079 | lrm: 1.00 | dt: 230ms | tok/sec: 284,489 | mfu: 22.5% | epoch: 1 | remaining: 297s    
step 00026 (1.2%) | loss: 5.948458 | lrm: 1.00 | dt: 230ms | tok/sec: 284,484 | mfu: 22.5% | epoch: 1 | remaining: 296s    
step 00027 (1.2%) | loss: 5.915231 | lrm: 1.00 | dt: 230ms | tok/sec: 284,549 | mfu: 22.5% | epoch: 1 | remaining: 296s    
step 00028 (1.3%) | loss: 5.881190 | lrm: 1.00 | dt: 231ms | tok/sec: 284,150 | mfu: 22.5% | epoch: 1 | remaining: 296s    
step 00029 (1.4%) | loss: 5.851303 | lrm: 1.00 | dt: 230ms | tok/sec: 284,447 | mfu: 22.5% | epoch: 1 | remaining: 296s    
step 00030 (1.5%) | loss: 5.827849 | lrm: 1.00 | dt: 230ms | tok/sec: 284,327 | mfu: 22.5% | epoch: 1 | remaining: 295s    
step 00031 (1.5%) | loss: 5.803300 | lrm: 1.00 | dt: 230ms | tok/sec: 284,382 | mfu: 22.5% | epoch: 1 | remaining: 295s    
step 00032 (1.6%) | loss: 5.782620 | lrm: 1.00 | dt: 230ms | tok/sec: 284,413 | mfu: 22.5% | epoch: 1 | remaining: 295s    
step 00033 (1.7%) | loss: 5.762431 | lrm: 1.00 | dt: 230ms | tok/sec: 284,460 | mfu: 22.5% | epoch: 1 | remaining: 295s    
step 00034 (1.8%) | loss: 5.738519 | lrm: 1.00 | dt: 230ms | tok/sec: 284,418 | mfu: 22.5% | epoch: 1 | remaining: 294s    
step 00035 (1.8%) | loss: 5.715643 | lrm: 1.00 | dt: 231ms | tok/sec: 284,053 | mfu: 22.5% | epoch: 1 | remaining: 294s    
step 00036 (1.9%) | loss: 5.696488 | lrm: 1.00 | dt: 231ms | tok/sec: 284,264 | mfu: 22.5% | epoch: 1 | remaining: 294s    
step 00037 (2.0%) | loss: 5.674919 | lrm: 1.00 | dt: 230ms | tok/sec: 284,418 | mfu: 22.5% | epoch: 1 | remaining: 294s    
step 00038 (2.1%) | loss: 5.658159 | lrm: 1.00 | dt: 230ms | tok/sec: 284,539 | mfu: 22.5% | epoch: 1 | remaining: 294s    
step 00039 (2.2%) | loss: 5.634433 | lrm: 1.00 | dt: 230ms | tok/sec: 284,449 | mfu: 22.5% | epoch: 1 | remaining: 293s    
step 00040 (2.2%) | loss: 5.619143 | lrm: 1.00 | dt: 230ms | tok/sec: 284,500 | mfu: 22.5% | epoch: 1 | remaining: 293s    
step 00041 (2.3%) | loss: 5.602207 | lrm: 1.00 | dt: 230ms | tok/sec: 284,581 | mfu: 22.5% | epoch: 1 | remaining: 293s    
step 00042 (2.4%) | loss: 5.584474 | lrm: 1.00 | dt: 230ms | tok/sec: 284,438 | mfu: 22.5% | epoch: 1 | remaining: 293s    
step 00043 (2.5%) | loss: 5.570380 | lrm: 1.00 | dt: 230ms | tok/sec: 284,492 | mfu: 22.5% | epoch: 1 | remaining: 292s    
step 00044 (2.5%) | loss: 5.556540 | lrm: 1.00 | dt: 231ms | tok/sec: 284,256 | mfu: 22.5% | epoch: 1 | remaining: 292s    
step 00045 (2.6%) | loss: 5.537549 | lrm: 1.00 | dt: 230ms | tok/sec: 284,388 | mfu: 22.5% | epoch: 1 | remaining: 292s    
step 00046 (2.7%) | loss: 5.524573 | lrm: 1.00 | dt: 231ms | tok/sec: 284,286 | mfu: 22.5% | epoch: 1 | remaining: 292s    
step 00047 (2.8%) | loss: 5.503867 | lrm: 1.00 | dt: 231ms | tok/sec: 284,286 | mfu: 22.5% | epoch: 1 | remaining: 291s    
step 00048 (2.8%) | loss: 5.486265 | lrm: 1.00 | dt: 230ms | tok/sec: 284,445 | mfu: 22.5% | epoch: 1 | remaining: 291s    
step 00049 (2.9%) | loss: 5.471167 | lrm: 1.00 | dt: 231ms | tok/sec: 284,270 | mfu: 22.5% | epoch: 1 | remaining: 291s    
step 00050 (3.0%) | loss: 5.448688 | lrm: 1.00 | dt: 230ms | tok/sec: 284,595 | mfu: 22.5% | epoch: 1 | remaining: 291s    
step 00051 (3.1%) | loss: 5.425214 | lrm: 1.00 | dt: 231ms | tok/sec: 284,289 | mfu: 22.5% | epoch: 1 | remaining: 291s    
step 00052 (3.1%) | loss: 5.411213 | lrm: 1.00 | dt: 230ms | tok/sec: 284,399 | mfu: 22.5% | epoch: 1 | remaining: 290s    
step 00053 (3.2%) | loss: 5.393753 | lrm: 1.00 | dt: 231ms | tok/sec: 284,227 | mfu: 22.5% | epoch: 1 | remaining: 290s    
step 00054 (3.3%) | loss: 5.381517 | lrm: 1.00 | dt: 231ms | tok/sec: 284,157 | mfu: 22.5% | epoch: 1 | remaining: 290s    
step 00055 (3.4%) | loss: 5.369582 | lrm: 1.00 | dt: 230ms | tok/sec: 284,363 | mfu: 22.5% | epoch: 1 | remaining: 290s    
step 00056 (3.5%) | loss: 5.360740 | lrm: 1.00 | dt: 230ms | tok/sec: 284,595 | mfu: 22.5% | epoch: 1 | remaining: 289s    
step 00057 (3.5%) | loss: 5.345447 | lrm: 1.00 | dt: 230ms | tok/sec: 284,514 | mfu: 22.5% | epoch: 1 | remaining: 289s    
