commit	val_bpb	memory_gb	status	description
exp001	1.152380	6.4	keep	baseline
exp002	1.157326	6.5	discard	parameter-matched SwiGLU gated MLP
exp003	1.148434	6.5	keep	alternating local/global attention pattern
exp004	1.145857	6.5	keep	narrow local attention window from 1024 to 512 in alternating local/global stack
exp005	1.149156	6.8	discard	deeper/narrower alternating local/global stack (8 layers, 256d)
exp006	1.145749	6.5	keep	halve alternating local attention window again from 512 to 256
exp007	1.141347	6.5	keep	halve alternating local attention window again from 256 to 128
exp008	1.143248	6.5	discard	halve alternating local attention window again from 128 to 64
exp009	1.154401	6.5	discard	shift learned value embeddings from global-attention blocks to short-window blocks
exp010	1.149183	6.4	discard	periodic global mixing with SSL attention pattern
exp011	1.157528	6.1	discard	switch to multi-query attention with 1 KV head on the exp007 SLSL/128 stack
exp012	2.929201	6.5	discard	tie input/output embeddings on the exp007 SLSL/128 stack
exp013	1.141103	6.5	keep	interpolate alternating local attention window from 128 toward 64 with a 96-token short window
exp014	1.141470	6.5	discard	taper short-window attention across local layers (128->96->64) in the alternating stack
exp015	1.140990	6.5	keep	reduce the exp013 alternating short attention window from 96 to 80 tokens
exp016	1.142355	6.5	discard	reduce the exp015 alternating short attention window from 80 to 72 tokens
exp017	1.141421	6.5	discard	widen higher local attention layers from 80 toward 96 tokens in the alternating stack
exp018	1.144114	6.0	discard	reduce FFN expansion from 5x to 4x on the exp015 SLSL/80 stack
exp019	1.141134	6.5	discard	increase alternating short attention window from 80 to 88 tokens
exp020	1.150996	6.5	discard	switch from 5x64 to 4x80 attention heads on the exp015 SLSL/80 stack
exp021	1.139131	7.6	keep	widen the exp015 SLSL/80 stack from 320d/5 heads to 384d/6 heads while keeping 64-dim heads
exp022	1.138620	7.6	keep	retune the widened 384d/6-head SLSL stack to an 88-token short local window
exp023	1.141736	7.3	discard	grouped-query attention with 3 KV heads on the widened 384d/6-head SLSL/88 stack
exp024	1.141125	7.6	discard	replace the exp022 ReLU-squared FFN with a matched-budget SwiGLU-style gated MLP
