wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: ewijaya to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run b0cep5x7
wandb: Tracking run with wandb version 0.25.0
wandb: Run data is saved locally in /home/ubuntu/storage1/recursive-mol/src/wandb/run-20260311_093000-b0cep5x7
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run protein-d6-ReluSquared
wandb: ⭐️ View project at https://wandb.ai/ewijaya/recursive-mol
wandb: 🚀 View run at https://wandb.ai/ewijaya/recursive-mol/runs/b0cep5x7
Track: protein
Vocab size: 24
Model config: {'sequence_len': 512, 'vocab_size': 24, 'n_layer': 6, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 320, 'window_pattern': 'SSSL', 'activation': 'ReluSquared', 'ffn_mult': 5, 'use_value_embeds': True, 'tie_embed_weights': False}
Parameter counts:
  wte                     : 7,680
  value_embeds            : 23,040
  lm_head                 : 7,680
  transformer_matrices    : 8,602,080
  scalars                 : 12
  total                   : 8,640,492
Estimated FLOPs per token: 5.952288e+07
Scaling AdamW LRs by 1/sqrt(320/768) = 1.549193
Time budget: 300s
Max epochs: 10
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 3.177444 | lrm: 1.00 | dt: 3007ms | tok/sec: 21,792 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 3.353599 | lrm: 1.00 | dt: 1028ms | tok/sec: 63,759 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 3.626478 | lrm: 1.00 | dt: 136ms | tok/sec: 481,228 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 3.457834 | lrm: 1.00 | dt: 136ms | tok/sec: 480,665 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 3.345772 | lrm: 1.00 | dt: 136ms | tok/sec: 481,292 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 3.266561 | lrm: 1.00 | dt: 136ms | tok/sec: 481,442 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 3.204332 | lrm: 1.00 | dt: 136ms | tok/sec: 481,060 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 3.151898 | lrm: 1.00 | dt: 136ms | tok/sec: 481,426 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 3.111863 | lrm: 1.00 | dt: 136ms | tok/sec: 480,787 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 3.078146 | lrm: 1.00 | dt: 136ms | tok/sec: 481,376 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 3.050997 | lrm: 1.00 | dt: 136ms | tok/sec: 480,773 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 3.027939 | lrm: 1.00 | dt: 136ms | tok/sec: 481,651 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 3.008343 | lrm: 1.00 | dt: 136ms | tok/sec: 480,750 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 2.991790 | lrm: 1.00 | dt: 136ms | tok/sec: 481,598 | mfu: 22.9% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 2.977456 | lrm: 1.00 | dt: 136ms | tok/sec: 480,656 | mfu: 22.9% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 2.964887 | lrm: 1.00 | dt: 136ms | tok/sec: 481,304 | mfu: 22.9% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 2.953865 | lrm: 1.00 | dt: 136ms | tok/sec: 480,799 | mfu: 22.9% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 2.944767 | lrm: 1.00 | dt: 136ms | tok/sec: 481,182 | mfu: 22.9% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 2.937411 | lrm: 1.00 | dt: 136ms | tok/sec: 480,987 | mfu: 22.9% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 2.929330 | lrm: 1.00 | dt: 136ms | tok/sec: 481,341 | mfu: 22.9% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 2.922650 | lrm: 1.00 | dt: 136ms | tok/sec: 480,705 | mfu: 22.9% | epoch: 1 | remaining: 299s    
step 00021 (0.5%) | loss: 2.917361 | lrm: 1.00 | dt: 136ms | tok/sec: 482,053 | mfu: 23.0% | epoch: 1 | remaining: 299s    
step 00022 (0.5%) | loss: 2.914208 | lrm: 1.00 | dt: 136ms | tok/sec: 480,667 | mfu: 22.9% | epoch: 1 | remaining: 298s    
step 00023 (0.5%) | loss: 2.910503 | lrm: 1.00 | dt: 136ms | tok/sec: 481,505 | mfu: 22.9% | epoch: 1 | remaining: 298s    
step 00024 (0.6%) | loss: 2.906652 | lrm: 1.00 | dt: 136ms | tok/sec: 482,307 | mfu: 23.0% | epoch: 1 | remaining: 298s    
step 00025 (0.6%) | loss: 2.902589 | lrm: 1.00 | dt: 136ms | tok/sec: 482,854 | mfu: 23.0% | epoch: 1 | remaining: 298s    
step 00026 (0.7%) | loss: 2.897774 | lrm: 1.00 | dt: 136ms | tok/sec: 481,946 | mfu: 22.9% | epoch: 1 | remaining: 298s    
step 00027 (0.7%) | loss: 2.894219 | lrm: 1.00 | dt: 136ms | tok/sec: 482,699 | mfu: 23.0% | epoch: 1 | remaining: 298s    
step 00028 (0.8%) | loss: 2.891160 | lrm: 1.00 | dt: 136ms | tok/sec: 481,967 | mfu: 23.0% | epoch: 1 | remaining: 298s    
step 00029 (0.8%) | loss: 2.887699 | lrm: 1.00 | dt: 136ms | tok/sec: 482,334 | mfu: 23.0% | epoch: 1 | remaining: 297s    
step 00030 (0.9%) | loss: 2.885321 | lrm: 1.00 | dt: 136ms | tok/sec: 482,117 | mfu: 23.0% | epoch: 1 | remaining: 297s    
step 00031 (0.9%) | loss: 2.882793 | lrm: 1.00 | dt: 136ms | tok/sec: 482,656 | mfu: 23.0% | epoch: 1 | remaining: 297s    
step 00032 (1.0%) | loss: 2.880030 | lrm: 1.00 | dt: 136ms | tok/sec: 481,976 | mfu: 23.0% | epoch: 1 | remaining: 297s    
step 00033 (1.0%) | loss: 2.877058 | lrm: 1.00 | dt: 136ms | tok/sec: 482,808 | mfu: 23.0% | epoch: 1 | remaining: 297s    
step 00034 (1.0%) | loss: 2.874537 | lrm: 1.00 | dt: 136ms | tok/sec: 481,776 | mfu: 22.9% | epoch: 1 | remaining: 297s    
step 00035 (1.1%) | loss: 2.873011 | lrm: 1.00 | dt: 136ms | tok/sec: 482,457 | mfu: 23.0% | epoch: 1 | remaining: 297s    
step 00036 (1.1%) | loss: 2.870297 | lrm: 1.00 | dt: 136ms | tok/sec: 481,965 | mfu: 23.0% | epoch: 1 | remaining: 296s    
step 00037 (1.2%) | loss: 2.868095 | lrm: 1.00 | dt: 136ms | tok/sec: 482,447 | mfu: 23.0% | epoch: 1 | remaining: 296s    
step 00038 (1.2%) | loss: 2.866928 | lrm: 1.00 | dt: 136ms | tok/sec: 482,130 | mfu: 23.0% | epoch: 1 | remaining: 296s    
step 00039 (1.3%) | loss: 2.864841 | lrm: 1.00 | dt: 136ms | tok/sec: 482,826 | mfu: 23.0% | epoch: 1 | remaining: 296s    
step 00040 (1.3%) | loss: 2.862950 | lrm: 1.00 | dt: 136ms | tok/sec: 482,372 | mfu: 23.0% | epoch: 1 | remaining: 296s    
step 00041 (1.4%) | loss: 2.861244 | lrm: 1.00 | dt: 136ms | tok/sec: 482,490 | mfu: 23.0% | epoch: 1 | remaining: 296s    
step 00042 (1.4%) | loss: 2.860924 | lrm: 1.00 | dt: 136ms | tok/sec: 481,896 | mfu: 22.9% | epoch: 1 | remaining: 296s    
step 00043 (1.5%) | loss: 2.860046 | lrm: 1.00 | dt: 136ms | tok/sec: 482,591 | mfu: 23.0% | epoch: 1 | remaining: 296s    
step 00044 (1.5%) | loss: 2.859985 | lrm: 1.00 | dt: 136ms | tok/sec: 481,600 | mfu: 22.9% | epoch: 1 | remaining: 295s    
step 00045 (1.5%) | loss: 2.859349 | lrm: 1.00 | dt: 136ms | tok/sec: 482,404 | mfu: 23.0% | epoch: 1 | remaining: 295s    
step 00046 (1.6%) | loss: 2.858701 | lrm: 1.00 | dt: 136ms | tok/sec: 480,881 | mfu: 22.9% | epoch: 1 | remaining: 295s    
step 00047 (1.6%) | loss: 2.857078 | lrm: 1.00 | dt: 136ms | tok/sec: 482,546 | mfu: 23.0% | epoch: 1 | remaining: 295s    
step 00048 (1.7%) | loss: 2.856796 | lrm: 1.00 | dt: 136ms | tok/sec: 481,825 | mfu: 22.9% | epoch: 1 | remaining: 295s    
step 00049 (1.7%) | loss: 2.856209 | lrm: 1.00 | dt: 136ms | tok/sec: 482,767 | mfu: 23.0% | epoch: 1 | remaining: 295s    
step 00050 (1.8%) | loss: 2.855505 | lrm: 1.00 | dt: 136ms | tok/sec: 481,985 | mfu: 23.0% | epoch: 1 | remaining: 295s    
step 00051 (1.8%) | loss: 2.853758 | lrm: 1.00 | dt: 136ms | tok/sec: 482,698 | mfu: 23.0% | epoch: 1 | remaining: 294s    
step 00052 (1.9%) | loss: 2.853601 | lrm: 1.00 | dt: 136ms | tok/sec: 482,116 | mfu: 23.0% | epoch: 1 | remaining: 294s    
step 00053 (1.9%) | loss: 2.851505 | lrm: 1.00 | dt: 136ms | tok/sec: 482,545 | mfu: 23.0% | epoch: 1 | remaining: 294s    
step 00054 (1.9%) | loss: 2.850943 | lrm: 1.00 | dt: 136ms | tok/sec: 481,921 | mfu: 22.9% | epoch: 1 | remaining: 294s    
step 00055 (2.0%) | loss: 2.849373 | lrm: 1.00 | dt: 136ms | tok/sec: 482,348 | mfu: 23.0% | epoch: 1 | remaining: 294s    
step 00056 (2.0%) | loss: 2.848303 | lrm: 1.00 | dt: 136ms | tok/sec: 482,264 | mfu: 23.0% | epoch: 1 | remaining: 294s    
step 00057 (2.1%) | loss: 2.847351 | lrm: 1.00 | dt: 136ms | tok/sec: 482,603 | mfu: 23.0% | epoch: 1 | remaining: 294s    
