commit	val_bpb	memory_gb	status	description
exp001	0.596529	5.3	keep	baseline
exp002	0.595841	5.4	keep	full attention for short SMILES sequences
exp003	0.594210	5.6	keep	parameter-matched SwiGLU MLP replacing plain feed-forward block
exp004	0.595208	5.6	discard	GeGLU gate activation in parameter-matched gated MLP
exp005	0.596398	5.6	discard	same-width 8-head attention layout instead of 5 heads
exp006	0.595198	5.3	discard	single shared KV head (MQA) with full attention + SwiGLU
exp007	0.595658	6.8	discard	full-width SwiGLU MLP instead of parameter-matched hidden shrinkage
exp008	0.597124	5.6	discard	same-width 4-head attention layout instead of 5 heads
exp009	0.596134	7.4	discard	parameter-matched deeper stack: 8 layers at 320 width
exp010	0.595526	5.5	discard	remove alternating value embeddings from full-attention SwiGLU model
exp011	0.593483	5.7	keep	value embeddings on every transformer block instead of alternating layers
exp012	0.593135	6.5	keep	add learned absolute positional embeddings on top of rotary full-attention all-value-embeds model
exp013	2.365319	6.5	discard	tie input/output embeddings on full-attention abs-pos all-value-embeds model
exp014	0.595196	6.4	discard	full-width value-embedding gate input instead of 32-channel prefix
exp015	0.605998	6.5	discard	squared-ReLU gated MLP instead of hardcoded SwiGLU on abs-pos full-attention backbone
exp016	0.597811	6.5	discard	remove rotary embeddings and rely on learned absolute positions
exp017	0.595153	6.5	discard	learned scalar gate on absolute positional embeddings over rotary+abs-pos backbone
exp018	0.596422	6.1	discard	shared KV head on rotary+abs-pos full-attention all-value-embeds backbone
exp019	0.595741	6.4	discard	smiles default to 5-layer 384-dim 6-head wider backbone on rotary+abs-pos full-attention all-value-embeds model
exp020	0.595708	6.3	discard	decouple learned absolute positional embeddings from x0 residual highway
exp021	0.593955	6.5	discard	head-dim value-embedding gate instead of 32-channel prefix
exp022	0.594456	6.3	discard	share one value-embedding table across transformer blocks on rotary+abs-pos full-attention backbone
exp023	0.601559	5.9	discard	parallel residual attention+mlp branches on rotary+abs-pos full-attention backbone
exp024	0.593112	6.9	keep	add per-layer learned attention and mlp residual gains on rotary+abs-pos full-attention backbone
exp025	0.592833	6.9	keep	add per-layer learned gains on the value-embedding path over the residual-gain full-attention backbone
exp026	0.592570	6.9	keep	replace scalar value-embedding gains with per-kv-head gains
exp027	0.592974	6.9	discard	add per-layer per-head gains on attention outputs over the residual-gain full-attention backbone
exp028	0.595783	6.9	discard	use configured gated-MLP activation instead of hardcoded SiLU
exp029	0.593041	6.9	discard	replace parameter-free RMSNorm with LayerNorm throughout the rotary+abs-pos full-attention residual-gain backbone
exp030	0.593190	6.9	discard	replace scalar x0 residual-highway gains with per-channel gains
exp031	0.595577	8.2	discard	smiles default to 6-layer 384-dim 6-head wider backbone on residual-gain per-kv-head value-gain model
exp032	0.592986	6.8	discard	use 128-token sliding attention in lower half and full attention in upper half on the residual-gain per-kv-head value-gain backbone
exp033	0.592252	6.2	keep	drop learned absolute positional embeddings and rely on rotary only on the residual-gain per-kv-head value-gain backbone
exp034	0.594457	5.8	discard	use single shared KV head (MQA) on the rotary-only residual-gain value-embedding backbone
exp035	0.593360	6.2	discard	zero-init x0 residual-highway gains on the rotary-only residual-gain value-embedding backbone
exp036	0.592530	6.1	discard	restrict learned value embeddings to the lower two-thirds of layers on the rotary-only residual-gain backbone
exp037	2.477853	6.2	discard	tie input/output embeddings on the rotary-only residual-gain per-kv-head value-embedding backbone
exp038	0.593406	6.2	discard	add per-layer learned attention temperature on the rotary-only residual-gain per-kv-head value-embedding backbone
exp039	0.594786	6.2	discard	use the configured ReluSquared gated MLP instead of a hardcoded SiLU gate on the rotary-only residual-gain value-embedding backbone
exp040	0.592456	6.1	discard	restrict learned value embeddings to the lower half of layers on the rotary-only residual-gain backbone
