wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: ewijaya to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run quge806r
wandb: Tracking run with wandb version 0.25.0
wandb: Run data is saved locally in /home/ubuntu/storage1/recursive-mol/src/wandb/run-20260309_212946-quge806r
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run smiles-d6-ReluSquared
wandb: ⭐️ View project at https://wandb.ai/ewijaya/recursive-mol
wandb: 🚀 View run at https://wandb.ai/ewijaya/recursive-mol/runs/quge806r
Track: smiles
Vocab size: 37
Model config: {'sequence_len': 256, 'vocab_size': 37, 'n_layer': 6, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 320, 'window_pattern': 'SSSL', 'activation': 'ReluSquared', 'ffn_mult': 5, 'use_value_embeds': False, 'tie_embed_weights': True}
Parameter counts:
  wte                     : 11,840
  value_embeds            : 0
  lm_head                 : 0
  transformer_matrices    : 8,601,600
  scalars                 : 12
  total                   : 8,613,452
Estimated FLOPs per token: 5.554176e+07
Scaling AdamW LRs by 1/sqrt(320/768) = 1.549193
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 14.264386 | lrm: 1.00 | dt: 2700ms | tok/sec: 24,274 | mfu: 1.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 20.471157 | lrm: 1.00 | dt: 1256ms | tok/sec: 52,190 | mfu: 2.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 14.701642 | lrm: 1.00 | dt: 123ms | tok/sec: 533,968 | mfu: 23.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 11.548518 | lrm: 1.00 | dt: 123ms | tok/sec: 534,412 | mfu: 23.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.709682 | lrm: 1.00 | dt: 123ms | tok/sec: 534,034 | mfu: 23.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.466333 | lrm: 1.00 | dt: 123ms | tok/sec: 534,819 | mfu: 23.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.574703 | lrm: 1.00 | dt: 123ms | tok/sec: 534,035 | mfu: 23.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.909480 | lrm: 1.00 | dt: 123ms | tok/sec: 534,557 | mfu: 23.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.393414 | lrm: 1.00 | dt: 123ms | tok/sec: 534,745 | mfu: 23.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 5.989307 | lrm: 1.00 | dt: 123ms | tok/sec: 534,363 | mfu: 23.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 5.666168 | lrm: 1.00 | dt: 123ms | tok/sec: 534,789 | mfu: 23.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 5.393411 | lrm: 1.00 | dt: 123ms | tok/sec: 534,700 | mfu: 23.8% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 5.177954 | lrm: 1.00 | dt: 123ms | tok/sec: 534,044 | mfu: 23.7% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 4.991382 | lrm: 1.00 | dt: 123ms | tok/sec: 534,871 | mfu: 23.8% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 4.828877 | lrm: 1.00 | dt: 123ms | tok/sec: 534,519 | mfu: 23.8% | epoch: 1 | remaining: 300s    
step 00015 (0.2%) | loss: 4.634899 | lrm: 1.00 | dt: 123ms | tok/sec: 534,306 | mfu: 23.7% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 4.465744 | lrm: 1.00 | dt: 123ms | tok/sec: 534,596 | mfu: 23.8% | epoch: 1 | remaining: 299s    
step 00017 (0.2%) | loss: 4.321436 | lrm: 1.00 | dt: 123ms | tok/sec: 534,790 | mfu: 23.8% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 4.196520 | lrm: 1.00 | dt: 123ms | tok/sec: 533,715 | mfu: 23.7% | epoch: 1 | remaining: 299s    
step 00019 (0.3%) | loss: 4.089374 | lrm: 1.00 | dt: 123ms | tok/sec: 534,546 | mfu: 23.8% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 3.993798 | lrm: 1.00 | dt: 123ms | tok/sec: 534,728 | mfu: 23.8% | epoch: 1 | remaining: 299s    
step 00021 (0.4%) | loss: 3.915705 | lrm: 1.00 | dt: 123ms | tok/sec: 534,755 | mfu: 23.8% | epoch: 1 | remaining: 299s    
step 00022 (0.4%) | loss: 3.845722 | lrm: 1.00 | dt: 123ms | tok/sec: 534,582 | mfu: 23.8% | epoch: 1 | remaining: 299s    
step 00023 (0.5%) | loss: 3.784720 | lrm: 1.00 | dt: 123ms | tok/sec: 534,353 | mfu: 23.7% | epoch: 1 | remaining: 298s    
step 00024 (0.5%) | loss: 3.730523 | lrm: 1.00 | dt: 123ms | tok/sec: 534,595 | mfu: 23.8% | epoch: 1 | remaining: 298s    
step 00025 (0.6%) | loss: 3.676916 | lrm: 1.00 | dt: 123ms | tok/sec: 534,659 | mfu: 23.8% | epoch: 1 | remaining: 298s    
step 00026 (0.6%) | loss: 3.631564 | lrm: 1.00 | dt: 123ms | tok/sec: 534,811 | mfu: 23.8% | epoch: 1 | remaining: 298s    
step 00027 (0.7%) | loss: 3.587054 | lrm: 1.00 | dt: 123ms | tok/sec: 534,318 | mfu: 23.7% | epoch: 1 | remaining: 298s    
step 00028 (0.7%) | loss: 3.547393 | lrm: 1.00 | dt: 123ms | tok/sec: 534,786 | mfu: 23.8% | epoch: 1 | remaining: 298s    
step 00029 (0.7%) | loss: 3.546119 | lrm: 1.00 | dt: 122ms | tok/sec: 535,036 | mfu: 23.8% | epoch: 1 | remaining: 298s    
step 00030 (0.8%) | loss: 3.510684 | lrm: 1.00 | dt: 123ms | tok/sec: 534,536 | mfu: 23.8% | epoch: 1 | remaining: 298s    
step 00031 (0.8%) | loss: 3.491601 | lrm: 1.00 | dt: 123ms | tok/sec: 534,357 | mfu: 23.7% | epoch: 1 | remaining: 297s    
step 00032 (0.9%) | loss: 3.476498 | lrm: 1.00 | dt: 123ms | tok/sec: 534,774 | mfu: 23.8% | epoch: 1 | remaining: 297s    
step 00033 (0.9%) | loss: 3.447771 | lrm: 1.00 | dt: 123ms | tok/sec: 534,140 | mfu: 23.7% | epoch: 1 | remaining: 297s    
step 00034 (0.9%) | loss: 3.423508 | lrm: 1.00 | dt: 123ms | tok/sec: 534,649 | mfu: 23.8% | epoch: 1 | remaining: 297s    
step 00035 (1.0%) | loss: 3.402742 | lrm: 1.00 | dt: 123ms | tok/sec: 534,786 | mfu: 23.8% | epoch: 1 | remaining: 297s    
step 00036 (1.0%) | loss: 3.383909 | lrm: 1.00 | dt: 123ms | tok/sec: 534,090 | mfu: 23.7% | epoch: 1 | remaining: 297s    
step 00037 (1.1%) | loss: 3.367486 | lrm: 1.00 | dt: 123ms | tok/sec: 534,833 | mfu: 23.8% | epoch: 1 | remaining: 297s    
step 00038 (1.1%) | loss: 3.348257 | lrm: 1.00 | dt: 122ms | tok/sec: 535,117 | mfu: 23.8% | epoch: 1 | remaining: 297s    
step 00039 (1.1%) | loss: 3.336937 | lrm: 1.00 | dt: 123ms | tok/sec: 534,824 | mfu: 23.8% | epoch: 1 | remaining: 296s    
step 00040 (1.2%) | loss: 3.321668 | lrm: 1.00 | dt: 122ms | tok/sec: 535,414 | mfu: 23.8% | epoch: 1 | remaining: 296s    
step 00041 (1.2%) | loss: 3.309660 | lrm: 1.00 | dt: 122ms | tok/sec: 535,445 | mfu: 23.8% | epoch: 1 | remaining: 296s    
step 00042 (1.3%) | loss: 3.298871 | lrm: 1.00 | dt: 122ms | tok/sec: 535,102 | mfu: 23.8% | epoch: 1 | remaining: 296s    
step 00043 (1.3%) | loss: 3.289608 | lrm: 1.00 | dt: 122ms | tok/sec: 535,763 | mfu: 23.8% | epoch: 1 | remaining: 296s    
step 00044 (1.3%) | loss: 3.281232 | lrm: 1.00 | dt: 122ms | tok/sec: 535,893 | mfu: 23.8% | epoch: 1 | remaining: 296s    
step 00045 (1.4%) | loss: 3.277284 | lrm: 1.00 | dt: 122ms | tok/sec: 535,612 | mfu: 23.8% | epoch: 1 | remaining: 296s    
step 00046 (1.4%) | loss: 3.268639 | lrm: 1.00 | dt: 122ms | tok/sec: 535,964 | mfu: 23.8% | epoch: 1 | remaining: 296s    
step 00047 (1.5%) | loss: 3.261196 | lrm: 1.00 | dt: 122ms | tok/sec: 535,416 | mfu: 23.8% | epoch: 1 | remaining: 295s    
step 00048 (1.5%) | loss: 3.255767 | lrm: 1.00 | dt: 123ms | tok/sec: 534,798 | mfu: 23.8% | epoch: 1 | remaining: 295s    
step 00049 (1.6%) | loss: 3.251342 | lrm: 1.00 | dt: 122ms | tok/sec: 535,500 | mfu: 23.8% | epoch: 1 | remaining: 295s    
step 00050 (1.6%) | loss: 3.248046 | lrm: 1.00 | dt: 122ms | tok/sec: 535,309 | mfu: 23.8% | epoch: 1 | remaining: 295s    
step 00051 (1.6%) | loss: 3.250587 | lrm: 1.00 | dt: 123ms | tok/sec: 534,796 | mfu: 23.8% | epoch: 1 | remaining: 295s    
step 00052 (1.7%) | loss: 3.247458 | lrm: 1.00 | dt: 122ms | tok/sec: 535,991 | mfu: 23.8% | epoch: 1 | remaining: 295s    
step 00053 (1.7%) | loss: 3.243810 | lrm: 1.00 | dt: 122ms | tok/sec: 535,406 | mfu: 23.8% | epoch: 1 | remaining: 295s    
step 00054 (1.8%) | loss: 3.239568 | lrm: 1.00 | dt: 122ms | tok/sec: 535,102 | mfu: 23.8% | epoch: 1 | remaining: 295s    
