Track: smiles
Vocab size: 37
Model config: {'sequence_len': 256, 'vocab_size': 37, 'n_layer': 6, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 320, 'window_pattern': 'SSSL', 'activation': 'ReluSquared', 'ffn_mult': 5, 'use_value_embeds': True, 'tie_embed_weights': False}
Parameter counts:
  wte                     : 11,840
  value_embeds            : 35,520
  lm_head                 : 11,840
  transformer_matrices    : 8,602,080
  scalars                 : 12
  total                   : 8,661,292
Estimated FLOPs per token: 5.561568e+07
Scaling AdamW LRs by 1/sqrt(320/768) = 1.549193
Time budget: 300s
Max epochs: 10
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 3.611664 | lrm: 1.00 | dt: 37609ms | tok/sec: 1,742 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 3.267595 | lrm: 1.00 | dt: 125ms | tok/sec: 522,276 | mfu: 23.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 2.821056 | lrm: 1.00 | dt: 13386ms | tok/sec: 4,895 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 2.553164 | lrm: 1.00 | dt: 142ms | tok/sec: 462,006 | mfu: 20.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 2.377369 | lrm: 1.00 | dt: 125ms | tok/sec: 525,345 | mfu: 23.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 2.256912 | lrm: 1.00 | dt: 125ms | tok/sec: 524,986 | mfu: 23.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 2.162355 | lrm: 1.00 | dt: 125ms | tok/sec: 525,634 | mfu: 23.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 2.089963 | lrm: 1.00 | dt: 125ms | tok/sec: 524,976 | mfu: 23.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 2.037831 | lrm: 1.00 | dt: 125ms | tok/sec: 524,988 | mfu: 23.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 1.995444 | lrm: 1.00 | dt: 125ms | tok/sec: 525,353 | mfu: 23.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 1.950530 | lrm: 1.00 | dt: 125ms | tok/sec: 525,806 | mfu: 23.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 1.908750 | lrm: 1.00 | dt: 125ms | tok/sec: 525,611 | mfu: 23.4% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 1.873590 | lrm: 1.00 | dt: 125ms | tok/sec: 525,793 | mfu: 23.4% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 1.838365 | lrm: 1.00 | dt: 125ms | tok/sec: 525,656 | mfu: 23.4% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 1.805083 | lrm: 1.00 | dt: 125ms | tok/sec: 525,497 | mfu: 23.4% | epoch: 1 | remaining: 300s    
step 00015 (0.2%) | loss: 1.771864 | lrm: 1.00 | dt: 125ms | tok/sec: 525,179 | mfu: 23.4% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 1.738638 | lrm: 1.00 | dt: 125ms | tok/sec: 524,391 | mfu: 23.3% | epoch: 1 | remaining: 299s    
step 00017 (0.2%) | loss: 1.705270 | lrm: 1.00 | dt: 125ms | tok/sec: 524,957 | mfu: 23.4% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 1.672782 | lrm: 1.00 | dt: 125ms | tok/sec: 525,722 | mfu: 23.4% | epoch: 1 | remaining: 299s    
step 00019 (0.3%) | loss: 1.644925 | lrm: 1.00 | dt: 125ms | tok/sec: 525,378 | mfu: 23.4% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 1.622355 | lrm: 1.00 | dt: 125ms | tok/sec: 525,678 | mfu: 23.4% | epoch: 1 | remaining: 299s    
step 00021 (0.4%) | loss: 1.590797 | lrm: 1.00 | dt: 125ms | tok/sec: 525,469 | mfu: 23.4% | epoch: 1 | remaining: 299s    
step 00022 (0.5%) | loss: 1.561855 | lrm: 1.00 | dt: 125ms | tok/sec: 525,480 | mfu: 23.4% | epoch: 1 | remaining: 299s    
step 00023 (0.5%) | loss: 1.533773 | lrm: 1.00 | dt: 125ms | tok/sec: 525,416 | mfu: 23.4% | epoch: 1 | remaining: 298s    
step 00024 (0.5%) | loss: 1.508385 | lrm: 1.00 | dt: 125ms | tok/sec: 524,850 | mfu: 23.4% | epoch: 1 | remaining: 298s    
step 00025 (0.6%) | loss: 1.481612 | lrm: 1.00 | dt: 125ms | tok/sec: 525,482 | mfu: 23.4% | epoch: 1 | remaining: 298s    
step 00026 (0.6%) | loss: 1.452721 | lrm: 1.00 | dt: 125ms | tok/sec: 525,694 | mfu: 23.4% | epoch: 1 | remaining: 298s    
step 00027 (0.7%) | loss: 1.430317 | lrm: 1.00 | dt: 125ms | tok/sec: 525,875 | mfu: 23.4% | epoch: 1 | remaining: 298s    
step 00028 (0.7%) | loss: 1.408464 | lrm: 1.00 | dt: 125ms | tok/sec: 525,154 | mfu: 23.4% | epoch: 1 | remaining: 298s    
step 00029 (0.7%) | loss: 1.384531 | lrm: 1.00 | dt: 125ms | tok/sec: 524,154 | mfu: 23.3% | epoch: 1 | remaining: 298s    
step 00030 (0.8%) | loss: 1.364959 | lrm: 1.00 | dt: 125ms | tok/sec: 525,106 | mfu: 23.4% | epoch: 1 | remaining: 298s    
step 00031 (0.8%) | loss: 1.344442 | lrm: 1.00 | dt: 125ms | tok/sec: 523,814 | mfu: 23.3% | epoch: 1 | remaining: 297s    
step 00032 (0.9%) | loss: 1.327416 | lrm: 1.00 | dt: 125ms | tok/sec: 523,687 | mfu: 23.3% | epoch: 1 | remaining: 297s    
step 00033 (0.9%) | loss: 1.308023 | lrm: 1.00 | dt: 125ms | tok/sec: 523,884 | mfu: 23.3% | epoch: 1 | remaining: 297s    
step 00034 (1.0%) | loss: 1.290517 | lrm: 1.00 | dt: 125ms | tok/sec: 523,992 | mfu: 23.3% | epoch: 1 | remaining: 297s    
step 00035 (1.0%) | loss: 1.274713 | lrm: 1.00 | dt: 125ms | tok/sec: 523,842 | mfu: 23.3% | epoch: 1 | remaining: 297s    
step 00036 (1.0%) | loss: 1.261524 | lrm: 1.00 | dt: 125ms | tok/sec: 523,963 | mfu: 23.3% | epoch: 1 | remaining: 297s    
step 00037 (1.1%) | loss: 1.245338 | lrm: 1.00 | dt: 125ms | tok/sec: 524,044 | mfu: 23.3% | epoch: 1 | remaining: 297s    
step 00038 (1.1%) | loss: 1.230386 | lrm: 1.00 | dt: 125ms | tok/sec: 524,399 | mfu: 23.3% | epoch: 1 | remaining: 297s    
step 00039 (1.2%) | loss: 1.216872 | lrm: 1.00 | dt: 125ms | tok/sec: 523,859 | mfu: 23.3% | epoch: 1 | remaining: 296s    
step 00040 (1.2%) | loss: 1.202399 | lrm: 1.00 | dt: 125ms | tok/sec: 524,485 | mfu: 23.3% | epoch: 1 | remaining: 296s    
step 00041 (1.2%) | loss: 1.190898 | lrm: 1.00 | dt: 125ms | tok/sec: 523,634 | mfu: 23.3% | epoch: 1 | remaining: 296s    
step 00042 (1.3%) | loss: 1.181837 | lrm: 1.00 | dt: 125ms | tok/sec: 523,668 | mfu: 23.3% | epoch: 1 | remaining: 296s    
step 00043 (1.3%) | loss: 1.169076 | lrm: 1.00 | dt: 125ms | tok/sec: 524,049 | mfu: 23.3% | epoch: 1 | remaining: 296s    
step 00044 (1.4%) | loss: 1.155266 | lrm: 1.00 | dt: 125ms | tok/sec: 523,516 | mfu: 23.3% | epoch: 1 | remaining: 296s    
step 00045 (1.4%) | loss: 1.145893 | lrm: 1.00 | dt: 125ms | tok/sec: 523,186 | mfu: 23.3% | epoch: 1 | remaining: 296s    
step 00046 (1.5%) | loss: 1.133499 | lrm: 1.00 | dt: 125ms | tok/sec: 523,399 | mfu: 23.3% | epoch: 1 | remaining: 296s    
step 00047 (1.5%) | loss: 1.122222 | lrm: 1.00 | dt: 125ms | tok/sec: 524,401 | mfu: 23.3% | epoch: 1 | remaining: 295s    
step 00048 (1.5%) | loss: 1.111748 | lrm: 1.00 | dt: 125ms | tok/sec: 524,657 | mfu: 23.3% | epoch: 1 | remaining: 295s    
step 00049 (1.6%) | loss: 1.095178 | lrm: 1.00 | dt: 125ms | tok/sec: 524,699 | mfu: 23.3% | epoch: 1 | remaining: 295s    
step 00050 (1.6%) | loss: 1.079691 | lrm: 1.00 | dt: 125ms | tok/sec: 524,923 | mfu: 23.4% | epoch: 1 | remaining: 295s    
step 00051 (1.7%) | loss: 1.072163 | lrm: 1.00 | dt: 125ms | tok/sec: 524,761 | mfu: 23.3% | epoch: 1 | remaining: 295s    
step 00052 (1.7%) | loss: 1.062942 | lrm: 1.00 | dt: 125ms | tok/sec: 525,645 | mfu: 23.4% | epoch: 1 | remaining: 295s    
step 00053 (1.7%) | loss: 1.052915 | lrm: 1.00 | dt: 125ms | tok/sec: 525,305 | mfu: 23.4% | epoch: 1 | remaining: 295s    
step 00054 (1.8%) | loss: 1.042841 | lrm: 1.00 | dt: 125ms | tok/sec: 525,553 | mfu: 23.4% | epoch: 1 | remaining: 295s    
step 00055 (1.8%) | loss: 1.033878 | lrm: 1.00 | dt: 125ms | tok/sec: 525,311 | mfu: 23.4% | epoch: 1 | remaining: 294s    
step 00056 (1.9%) | loss: 1.025224 | lrm: 1.00 | dt: 125ms | tok/sec: 525,056 | mfu: 23.4% | epoch: 1 | remaining: 294s    
step 00057 (1.9%) | loss: 1.015715 | lrm: 1.00 | dt: 125ms | tok/sec: 525,103 | mfu: 23.4% | epoch: 1 | remaining: 294s    
step 00058 (2.0%) | loss: 1.004106 | lrm: 1.00 | dt: 125ms | tok/sec: 525,621 | mfu: 23.4% | epoch: 1 | remaining: 294s    
step 00059 (2.0%) | loss: 0.995628 | lrm: 1.00 | dt: 125ms | tok/sec: 525,665 | mfu: 23.4% | epoch: 1 | remaining: 294s    
step 00060 (2.0%) | loss: 0.986856 | lrm: 1.00 | dt: 125ms | tok/sec: 525,520 | mfu: 23.4% | epoch: 1 | remaining: 294s    
step 00061 (2.1%) | loss: 0.979760 | lrm: 1.00 | dt: 125ms | tok/sec: 525,295 | mfu: 23.4% | epoch: 1 | remaining: 294s    
step 00062 (2.1%) | loss: 0.970145 | lrm: 1.00 | dt: 125ms | tok/sec: 524,726 | mfu: 23.3% | epoch: 1 | remaining: 294s    
step 00063 (2.2%) | loss: 0.964766 | lrm: 1.00 | dt: 125ms | tok/sec: 525,577 | mfu: 23.4% | epoch: 1 | remaining: 293s    
step 00064 (2.2%) | loss: 0.955896 | lrm: 1.00 | dt: 125ms | tok/sec: 524,849 | mfu: 23.4% | epoch: 1 | remaining: 293s    
step 00065 (2.2%) | loss: 0.951604 | lrm: 1.00 | dt: 125ms | tok/sec: 525,469 | mfu: 23.4% | epoch: 1 | remaining: 293s    
step 00066 (2.3%) | loss: 0.939665 | lrm: 1.00 | dt: 125ms | tok/sec: 525,344 | mfu: 23.4% | epoch: 1 | remaining: 293s    
step 00067 (2.3%) | loss: 0.930117 | lrm: 1.00 | dt: 125ms | tok/sec: 525,654 | mfu: 23.4% | epoch: 1 | remaining: 293s    
step 00068 (2.4%) | loss: 0.922174 | lrm: 1.00 | dt: 125ms | tok/sec: 525,725 | mfu: 23.4% | epoch: 1 | remaining: 293s    
step 00069 (2.4%) | loss: 0.911926 | lrm: 1.00 | dt: 125ms | tok/sec: 525,491 | mfu: 23.4% | epoch: 1 | remaining: 293s    
step 00070 (2.5%) | loss: 0.905321 | lrm: 1.00 | dt: 125ms | tok/sec: 525,445 | mfu: 23.4% | epoch: 1 | remaining: 293s    
